,Title,Publisher,Resource,Jurisdiction_x,Portal,0_Data_desc,0_Data_format,0_Data_page,0_Data_title,0_Data_url,1_Data_desc,1_Data_format,1_Data_page,1_Data_title,1_Data_url,2_Data_desc,2_Data_format,2_Data_page,2_Data_title,2_Data_url,3_Data_desc,3_Data_format,3_Data_page,3_Data_title,3_Data_url,4_Data_desc,4_Data_format,4_Data_page,4_Data_title,4_Data_url,5_Data_desc,5_Data_format,5_Data_page,5_Data_title,5_Data_url,6_Data_desc,6_Data_format,6_Data_page,6_Data_title,6_Data_url,7_Data_format,7_Data_page,7_Data_title,7_Data_url,8_Data_format,8_Data_page,8_Data_title,8_Data_url,Contact Point,Data Portal,Data Status,Date Published,Date Updated,Description,Field,Fields of Research,Geospatial Coverage,Geospatial Topics,Jurisdiction_y,Landing Page,Language,Licence,Publisher/Agency,RDF,Tag_0,Tag_1,Tag_10,Tag_11,Tag_12,Tag_13,Tag_14,Tag_15,Tag_16,Tag_17,Tag_18,Tag_19,Tag_2,Tag_20,Tag_21,Tag_22,Tag_23,Tag_24,Tag_25,Tag_26,Tag_27,Tag_28,Tag_29,Tag_3,Tag_30,Tag_31,Tag_32,Tag_33,Tag_34,Tag_35,Tag_36,Tag_37,Tag_38,Tag_39,Tag_4,Tag_40,Tag_41,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Temporal Coverage,Type,URL,Update Frequency
58,"The Pre-Cambrian of northwestern Queensland (presented at ANZAAS, Melbourne, 22/8/55)",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/the-pre-cambrian-of-northwestern-queensland-presented-at-anzaas-melbourne-22-8-55/resource/01e8042b-3a6c-413a-86c1-ef3f6bd37279,File download,https://d28rz98at9flks.cloudfront.net/9015/Rec1955_074.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/3539d918-b658-4580-882b-388f46492f6a ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/3539d918-b658-4580-882b-388f46492f6a.rdf,AU-QLD,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/the-pre-cambrian-of-northwestern-queensland-presented-at-anzaas-melbourne-22-8-55, unknown
59,Revised Great Artesian Basin Jurassic-Cretaceous sequence boundary,Geoscience Australia                 ,SHP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (shp),SHP,https://data.gov.au/dataset/revised-great-artesian-basin-jurassic-cretaceous-sequence-boundary/resource/21070466-6d0c-4188-9b6a-3495d5d5cd99,File download,https://d28rz98at9flks.cloudfront.net/75904/75904_Shapefile.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"The revised Great Artesian Basin Jurassic-Cretaceous boundary was produced by the Great Artesian Basin Water Resource Assessment (GABWRA) . This boundary is modified from that of Habermehl and Lau 1997 and incorporates the revised boundary from the South Australia Great Artesian Basin (Eromanga Basin) Hydrogeological map 2012. Modifications made to sections of this boundary as part of the GABWRA include major revisions to the Surat and Clarence-Moreton Basins boundary; southern part of the Coonamble Embayment; NW Queensland boundary within the Lawn Hill and Westmoreland 1:250K map sheet areas. The dataset includes boundaries of basement inliers within the GAB Note: Habermehl and Lau 1997 boundary included Triassic GAB formations in Queensland which were not considered by the GABWRA. Data is available in polygon format. REFERENCE: Ransley TR and Smerdon BD (eds) (2012) Hydrostratigraphy, hydrogeology and system conceptualisation of the Great Artesian Basin. A technical report to the Australian Government from the CSIRO Great Artesian Basin Water Resource Assessment. CSIRO Water for a Healthy Country Flagship, Australia. This dataset and associated metadata can be obtained from www.ga.gov.au, using catalogue number 75904.",None,," {""type"": ""Polygon"", ""coordinates"": [[[132.0738, -33.69427], [153.1853, -33.69427], [153.1853, -9.985917], [132.0738, -9.985917], [132.0738, -33.69427]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/6cc2e0b2-b2c0-4972-bcec-08936bdae372 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/6cc2e0b2-b2c0-4972-bcec-08936bdae372.rdf,AU-NSW,AU-QLD,,,,,,,,,,,AU-SA,,,,,,,,,,,GIS Dataset,,,,,,,,,,,Geology,,,boundaries,geology,groundwater,hydrogeology,,,Dataset,https://data.gov.au/dataset/revised-great-artesian-basin-jurassic-cretaceous-sequence-boundary, notPlanned
60,"Explanatory notes: Westmoreland 4-mile geological series, sheet E54-5",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/explanatory-notes-westmoreland-4-mile-geological-series-sheet-e54-5/resource/7f02a477-1098-4f57-9d1f-7097f7c34589,File download,https://d28rz98at9flks.cloudfront.net/10447/Rec1959_017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,," {""type"": ""Polygon"", ""coordinates"": [[[138.0, -18.0], [139.5, -18.0], [139.5, -17.0], [138.0, -17.0], [138.0, -18.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/96fdf740-28da-4d59-b53c-42a20f07328e ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/96fdf740-28da-4d59-b53c-42a20f07328e.rdf,AU-SA,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,geology,,,,,,,,,Dataset,https://data.gov.au/dataset/explanatory-notes-westmoreland-4-mile-geological-series-sheet-e54-5, unknown
61,2016 SoE Marine Bar chart of fisheries swept-area by marine bioregion,State of the Environment                 ,CSV, Commonwealth of Australia, data.gov.au,,CSV,https://data.gov.au/dataset/2016-soe-marine-bar-charts-of-swept-area-by-marine-region/resource/139dfa09-ae10-4100-9e97-5a4d0e1077d5,Swept Area by marine region,https://data.gov.au/dataset/cbd701da-c87d-4af7-bc7b-bdabbbf88508/resource/139dfa09-ae10-4100-9e97-5a4d0e1077d5/download/box-2sweptareainimcraregionsbymarineregionschart2fig7b.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  State of the Environment  nic.bax@csiro.au  , data.gov.au, active,2016-08-04,2018-01-10,Prepared for second bar chart in relevant Figure (12b) of Marine chapter of State of the environment report. Data compiled by CSIRO.,None,, SA0003560: Australia,, Commonwealth of Australia,https://data.gov.au/dataset/cbd701da-c87d-4af7-bc7b-bdabbbf88508 ,English, Creative Commons Attribution 4.0 International ,State of the Environment                 ,https://data.gov.au/dataset/cbd701da-c87d-4af7-bc7b-bdabbbf88508.rdf,2016,2016 SoE,,,,,,,,,,,Marine environment,,,,,,,,,,,Not linked,,,,,,,,,,,SoE,,,State of the Environment,,,,, 2007-01-01    - 2011-12-31  ,Dataset,https://data.gov.au/dataset/2016-soe-marine-bar-charts-of-swept-area-by-marine-region, never
62,Derwent Estuary Recreational Water Quality monitoring program - Howrah West,Environment Protection Authority Tasmania                 ,CSV, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,,CSV,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-howrah-west/resource/c82b6137-f5d2-42df-b228-1d87f770b0a0,HowrahWest_T.csv,http://geonetwork.marvlis.aodn.org.au/geonetwork/srv/en/resources.get?uuid=8b9c0999-ccf8-438c-9a47-10d4aafede1a&fname=HowrahWest_T.csv&access=private,,CSV,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-howrah-west/resource/855437ae-428e-4364-9721-f49331baf779,HowrahWest_S.csv,http://geonetwork.marvlis.aodn.org.au/geonetwork/srv/en/resources.get?uuid=8b9c0999-ccf8-438c-9a47-10d4aafede1a&fname=HowrahWest_S.csv&access=private,,HTML,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-howrah-west/resource/061c587c-fe2a-4366-a0dc-46e04392b17f,Data available via the OPeNDAP server (NetCDF format),http://thredds.aodn.org.au/thredds/dodsC/Derwent_Estuary_Program/Recreational_Water_Quality/DEP-RWQ_TS_20071204T103000Z_HowrahWest_FV01_END-20120327T093000Z.nc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Environment Protection Authority Tasmania   (03) 6165 4599    Christine.Coughanowr@environment.tas.gov.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"Howrah West monitoring site is collected as part of the Derwent Beach Watch program. Derwent Beach Watch is a collaborative program between councils and state government that tests water quality at 18 swimming sites around the estuary during summer months.  Water samples are collected each Tuesday from the start of December to the end of March and analysed for the faecal indicator bacteria Enterococci (Enteralert method) at the Public health Lab. Because the samples must be cultured, it takes several days to publish the results.",None,," {""type"": ""Point"", ""coordinates"": [147.391, -42.8809]}",, Commonwealth of Australia,https://data.gov.au/dataset/c898e4cc-ce07-49be-bceb-13cc4854ea12 ,English, Creative Commons Attribution 2.5 Australia ,Environment Protection Authority Tasmania                 ,https://data.gov.au/dataset/c898e4cc-ce07-49be-bceb-13cc4854ea12.rdf,Contaminants,Derwent Estuary,Water Temperature,,,,,,,,,,Hydrolab Vertical Profiler,,,,,,,,,,,Oceans,,,,,,,,,,,Ph,,,Salinity,Salinity%2Fdensity,Turbidity,Water Quality,Water Quality Monitoring,,Dataset,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-howrah-west, asNeeded
63,Derwent Estuary Recreational Water Quality monitoring program - Kingston South,Environment Protection Authority Tasmania                 ,CSV, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,,CSV,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-kingston-south/resource/6748c0ef-bc3f-45f9-9bd8-252fcf1fa03f,KingstonSouth_T.csv,http://geonetwork.marvlis.aodn.org.au/geonetwork/srv/en/resources.get?uuid=7e57b2ef-93e8-4d6d-848b-faa4917f6137&fname=KingstonSouth_T.csv&access=private,,CSV,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-kingston-south/resource/bfc1b6c1-937a-4412-8971-b6e905e90f8c,KingstonSouth_S.csv,http://geonetwork.marvlis.aodn.org.au/geonetwork/srv/en/resources.get?uuid=7e57b2ef-93e8-4d6d-848b-faa4917f6137&fname=KingstonSouth_S.csv&access=private,,HTML,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-kingston-south/resource/8681f77e-4f49-4a2e-9e49-bb036fdb8b5f,Data available via the OPeNDAP server (NetCDF format),http://thredds.aodn.org.au/thredds/dodsC/Derwent_Estuary_Program/Recreational_Water_Quality/DEP-RWQ_TS_20071204T101500Z_KingstonSouth_FV01_END-20120327T121500Z.nc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Environment Protection Authority Tasmania   (03) 6165 4599    Christine.Coughanowr@environment.tas.gov.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"Kingston South monitoring site is collected as part of the Derwent Beach Watch program. Derwent Beach Watch is a collaborative program between councils and state government that tests water quality at 18 swimming sites around the estuary during summer months.  Water samples are collected each Tuesday from the start of December to the end of March and analysed for the faecal indicator bacteria Enterococci (Enteralert method) at the Public health Lab. Because the samples must be cultured, it takes several days to publish the results.",None,," {""type"": ""Point"", ""coordinates"": [147.3246, -42.9839]}",, Commonwealth of Australia,https://data.gov.au/dataset/a73e85d2-609b-4d10-af03-679ba67875db ,English, Creative Commons Attribution 2.5 Australia ,Environment Protection Authority Tasmania                 ,https://data.gov.au/dataset/a73e85d2-609b-4d10-af03-679ba67875db.rdf,Contaminants,Derwent Estuary,Water Temperature,,,,,,,,,,Hydrolab Vertical Profiler,,,,,,,,,,,Oceans,,,,,,,,,,,Ph,,,Salinity,Salinity%2Fdensity,Turbidity,Water Quality,Water Quality Monitoring,,Dataset,https://data.gov.au/dataset/derwent-estuary-recreational-water-quality-monitoring-program-kingston-south, asNeeded
64,Prawn Larval Species Distribution in Albatross Bay,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,ZIP, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,m1663_spp.zip (90 KB),ZIP,https://data.gov.au/dataset/prawn-larval-species-distribution-in-albatross-bay/resource/21b4f9a2-318b-44b5-a0a1-7cb71f5e3528,Data Link,http://www.cmar.csiro.au/datacentre/noo_data/ocean_2004/base_data/northern/m1663_spp.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  CSIRO Oceans and Atmosphere - Information and Data Centre  data-requests-hf@csiro.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"Between March 1986 and April 1992, monthly cruises were carried out at twenty-one stations in Albatross Bay, Gulf of Carpentaria. Prawn larval densities were measured and salinity-temperature profiles taken. Prawn larval density from stepped oblique bottom to surface plankton tows. Net sizes were 142 or 140m mesh, 250micron mesh with a 0.5x0.5 square frame, stepped-oblique tow. In this dataset Penaid prawn counts were recorded to species level for the genus Penaeus only, for larval stages Mysis 1-3. (Identification was not possible for other larval stages).",None,," {""type"": ""Polygon"", ""coordinates"": [[[141.5, -13.0], [142.0, -13.0], [142.0, -12.5], [141.5, -12.5], [141.5, -13.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/ad6b59a8-d271-4d91-a5fe-d23a6ccf1d15 ,English, Other ,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,https://data.gov.au/dataset/ad6b59a8-d271-4d91-a5fe-d23a6ccf1d15.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/prawn-larval-species-distribution-in-albatross-bay, notPlanned
65,SRFME Ocean Colour Mesocat Voyage: CTD Data MC200316OC,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,WMS, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,CTD data for Mesocat Voyage SRFME MC,WMS,https://data.gov.au/dataset/srfme-ocean-colour-mesocat-voyage-ctd-data-mc200316oc/resource/328bd36a-6cb7-4ef5-b9d9-3a85b3dfff92,mnf:CTD_HEADER_AODN_VIEW,http://www.cmar.csiro.au/geoserver/wms?&CQL_FILTER=SURVEY_NAME%20%3D%20%27MC%27,Attributes overview: Attributes_MESOCAT.pdf,PDF,https://data.gov.au/dataset/srfme-ocean-colour-mesocat-voyage-ctd-data-mc200316oc/resource/0c3649f4-3ee0-4709-ad51-3e0604d5c096,Documentation Link,http://www.cmar.csiro.au/datacentre/srfme/Attributes_MESOCAT.pdf,SRFME Biophysical CTD datasets,HTML,https://data.gov.au/dataset/srfme-ocean-colour-mesocat-voyage-ctd-data-mc200316oc/resource/45d83302-d95c-4fb1-a0d7-2a4de3afbfe1,Data Link (private),http://www.cmar.csiro.au/datacentre/srfme_dev/data-repository/Biophysical/CTD/index.html,SRFME data repository web site,HTML,https://data.gov.au/dataset/srfme-ocean-colour-mesocat-voyage-ctd-data-mc200316oc/resource/b1c78a26-4649-45c9-872d-ade4e44eb9c2,Data Link (private),http://www.cmar.csiro.au/datacentre/srfme/index.html,,,,,,,,,,,,,,,,,,,,,,,,  CSIRO Oceans and Atmosphere - Information and Data Centre  data-requests-hf@csiro.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"This dataset contains the processed Conductivity-Temperature-Depth (CTD) data collected on Mesocat voyage MC200316OC, processed by SRFME staff and is archived within the CSIRO Marine and Atmospheric Research Data Centre in Floreat. This dataset is part of the SRFME research program.",None,," {""type"": ""Polygon"", ""coordinates"": [[[114.7, -31.8], [115.5, -31.8], [115.5, -31.5], [114.7, -31.5], [114.7, -31.8]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/fd86fa44-2387-489f-af95-5bda25f66531 ,English, Other ,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,https://data.gov.au/dataset/fd86fa44-2387-489f-af95-5bda25f66531.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/srfme-ocean-colour-mesocat-voyage-ctd-data-mc200316oc, notPlanned
66,Soela Voyage SO 1/86 Biological Data Overview,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,PDF, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,Cruise Plan and Summary (PDF),PDF,https://data.gov.au/dataset/soela-voyage-so-1-86-biological-data-overview/resource/64bf8e5b-d46d-4198-8610-8cea8901f504,Documentation Link,http://www.cmar.csiro.au/datacentre/process/data_files/Soela/so1986_01/C2009_4515_CruisePlanAndSummary.pdf,Deck Logs (PDF),PDF,https://data.gov.au/dataset/soela-voyage-so-1-86-biological-data-overview/resource/cc41c79d-fd35-43a4-b75b-36e1b6bc5b13,Documentation Link,http://www.cmar.csiro.au/datacentre/process/data_files/Soela/so1986_01/C2009_4541_DeckLogs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  CSIRO Oceans and Atmosphere - Information and Data Centre  data-requests-hf@csiro.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"This record is an overview entry for biological data collected on Soela cruise SO 1/86. This cruise took place in the Coral and Tasman Seas during 8 January - 2 February 1986, under the leadership of Trevor Ward and G. Harris. Biological data collected on this cruise include catch rates and size distribution of Linuparus trigonus (Champagne Lobster) from 72 consecutive trawls at approximately 4 hourly intervals. About 15 berried lobster samples. Guts from 10 lobsters from each of 6 times at the three depths for analysis of gut contents. Measurements were made for 14 C production, heterotrophic production rates, chlorophyll levels, POC, DOC, and nutrients. Particle size distributions of phytoplankton and zooplankton. Information on latitudinal differences in diet and distribution of larval fishes and the latitudinal distribution of pontellid copepods along 155 E. (derived from the cruise report) - Biological Field Data Sheets recorded during this voyage have been scanned to PDF, and are available (to CSIRO Staff) on-line. See the details link under ""Stored Media List"" (below).",None,," {""type"": ""Polygon"", ""coordinates"": [[[147.0, -43.5], [156.0, -43.5], [156.0, -18.0], [147.0, -18.0], [147.0, -43.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/a38650ca-ef19-422d-9bd5-8bbf6d5bea1a ,English, Other ,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,https://data.gov.au/dataset/a38650ca-ef19-422d-9bd5-8bbf6d5bea1a.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/soela-voyage-so-1-86-biological-data-overview, notPlanned
67,Soviet Fishery Data (Australian Waters) - vessel Seskar January-June 1966,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,WMS, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,Catch data for Seskar Voyage Seskar voyage Jan-Jun 1966,WMS,https://data.gov.au/dataset/soviet-fishery-data-australian-waters-vessel-seskar-january-june-1966/resource/dc871ca8-f80f-4ebc-9530-551221637797,cmar:CATCH_HEADER_AODN_VIEW,http://www.cmar.csiro.au/geoserver/wms?&CQL_FILTER=SURVEY_NAME%20%3D%20%27SESK196601%27,Dataset description (JEMS only dataset- authorisation required),HTML,https://data.gov.au/dataset/soviet-fishery-data-australian-waters-vessel-seskar-january-june-1966/resource/c8cebd39-836d-4a3a-aeab-bcc5f5148871,Documentation Link,http://www.cmar.csiro.au/datacentre/nws_data/data_files/russian/russian.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  CSIRO Oceans and Atmosphere - Information and Data Centre  data-requests-hf@csiro.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"This dataset comprises catch compositions and trawl locations from a cruise of the Russian fishery research vessel ""Seskar"" carried out in Australian waters between January and June 1966, containing 273 demersal trawls from Bass Strait and the Great Australian Bight. Most records include catch composition by species (presence/absence but not weight), also some data on length frequency, maturity and diet of commercially important species. The data were obtained by exchange with Soviet scientists in the mid 1990s and has had CSIRO species codes incorporated. The dataset is now in an Oracle database in Hobart, and analyses/summaries of the data are given in the accompanying report (see References). A MS Access version of the dataset has been compiled for use within the North West Shelf-JEMS study. This version is available on-line for researchers in the NWS-JEMS study (see data links). The data are also accessible to authorised users via CMR's ""Data Trawler"" application. A username and password is required to access this dataset.",None,," {""type"": ""Polygon"", ""coordinates"": [[[124.28333, -40.51778], [146.76667, -40.51778], [146.76667, -31.71667], [124.28333, -31.71667], [124.28333, -40.51778]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/1ca12fa1-d585-40d6-86c3-6385a0dc8d62 ,English, Other ,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,https://data.gov.au/dataset/1ca12fa1-d585-40d6-86c3-6385a0dc8d62.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/soviet-fishery-data-australian-waters-vessel-seskar-january-june-1966, notPlanned
68,Correlation chart for the Triassic system of Australia,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Bulletin (pdf),PDF,https://data.gov.au/dataset/correlation-chart-for-the-triassic-system-of-australia/resource/2bdc5750-5058-4f8d-9930-5e95edfb1b73,File download,https://d28rz98at9flks.cloudfront.net/91/Bull_156C.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"A correlation chart for the Triassic System in Australia is presented. The base of the System in Australia is taken as the earliest occurrence of the Lunatisporites pellucidus Assemblage Zone in a section of the Rewan Formation in the Bowen Basin, Queensland, and the base of the Jurassic System as the occurrence of Ceratosporites helidonensis with ClassopoWs and Retitriletes austroclavatitides in the Upper Woogaroo Subgroup in a section near Ipswich in the Moreton Basin. Correlations within Australia are based predominantly on microfioral evidence with supporting evidence from fossil vertebrates and, to a minor degree, on macrofiora. Correlation of Australian units with those in other continents depends on ammonites, bivalves, conodonts, vertebrates, and microfiora in Lower Triassic units; and on vertebrates and microfiora in higher units. A cross-indexed bibliography on the Triassic System in Australia covering 21 years to the end of 1973 is also provided.",None,," {""type"": ""Polygon"", ""coordinates"": [[[112.0, -44.0], [155.0, -44.0], [155.0, -10.0], [112.0, -10.0], [112.0, -44.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/df2364a2-cfec-47e2-88d8-35dc97086ae3 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/df2364a2-cfec-47e2-88d8-35dc97086ae3.rdf,AU,Bulletin,,,,,,,,,,,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,geology,,,stratigraphy,,,,,,Dataset,https://data.gov.au/dataset/correlation-chart-for-the-triassic-system-of-australia, unknown
69,"Minor metalliferous investigations, Northern Territory Resident Geological Section, July-September 1962",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/minor-metalliferous-investigations-northern-territory-resident-geological-section-july-sep-1962/resource/77954057-2961-4002-b85e-af1029d44b64,File download,https://d28rz98at9flks.cloudfront.net/11114/Rec1963_032.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/b33607e2-edd8-4608-8da4-64a24db1520b ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/b33607e2-edd8-4608-8da4-64a24db1520b.rdf,AU-NT,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/minor-metalliferous-investigations-northern-territory-resident-geological-section-july-sep-1962, unknown
70,Soil conditions in damaged mangrove forests in north Queensland,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/soil-conditions-in-damaged-mangrove-forests-in-north-queensland/resource/8c3edb68-ae5e-40d6-a22b-19547d7464b2,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=f40a2e98-5bfb-4cdb-a66a-e7a2bf6802dd,,HTML,https://data.gov.au/dataset/soil-conditions-in-damaged-mangrove-forests-in-north-queensland/resource/6e1ccfb1-7869-47a0-b5f6-85ab7cbd2463,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  adc@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,"In October and November 1991, soil was sampled and the abundance of crabs estimated in nine mangrove forests, located between Bailey's Creek, Cow Bay (north of Port Douglas) and Chunda Bay (south of Townsville). ",None,," {""type"": ""Polygon"", ""coordinates"": [[[145.4, -19.35], [147.1, -19.35], [147.1, -16.1], [145.4, -16.1], [145.4, -19.35]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/f1310ade-1609-4742-898a-5ec1e906f753 ,English, Other ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/f1310ade-1609-4742-898a-5ec1e906f753.rdf,Bruguiera gymnorhiza,Carbon,Land Surface,Mangroves,Nitrogen,Oceans,Phosphorus,Potassium,Rhizophora apiculata,Rhizophora stylosa,Soil Chemistry,Soil Compaction,Ceriops tagal,Soil pH,Soils,Sulphur,,,,,,,,Coastal Processes,,,,,,,,,,,Crab burrows,,,Environmental Assessments,Environmental Impacts,Grain size,Human Dimensions,Iron,,Dataset,https://data.gov.au/dataset/soil-conditions-in-damaged-mangrove-forests-in-north-queensland, notPlanned
